SYS_Time,EXCH,INSTRUMENT,EXPIRY,OPTION,STRIKE,tradedDate,time,underlyingValue,lastPrice,buyPrice1,sellPrice1,buyQuantity1,sellQuantity1,totalBuyQuantity,totalSellQuantity,openInterest,marketLot,tradedVolume,tradedValue,change,pChange,strikePrice,expiryDate,optionType,closePrice,openPrice,lowPrice,highPrice
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9700,24-Jul-17,12:39:25,9966.8,258,258.55,259.8,150,75,429150,50325,1279275,75,,,change,22.04,9700,27-Jul-17,CE,0,221.65,216,264
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9600,24-Jul-17,12:39:55,9965.3,356.5,356.25,357.65,300,225,115800,42900,966750,75,,,change,15.04,9600,27-Jul-17,CE,0,334.9,308.5,361.4
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9500,24-Jul-17,12:39:55,9965.3,458.95,456.4,458.25,975,75,56250,34875,957525,75,,,change,11.73,9500,27-Jul-17,CE,0,424.45,416.05,462.1
Mon Jul 24 12:38:27 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9400,24-Jul-17,12:39:55,9965.3,554.4,553.65,554.6,150,1125,82575,31950,445350,75,,,change,9.42,9400,27-Jul-17,CE,0,511.25,511.25,558.25
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10200,24-Jul-17,12:58:25,9968.4,235.95,233.8,235.3,150,375,56325,20250,50025,75,,,change,-17.84,10200,27-Jul-17,PE,0,277.15,234,283.1
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10100,24-Jul-17,12:58:25,9968.4,138,137.75,138.7,150,1200,890025,63525,146550,75,,,change,-26.36,10100,27-Jul-17,PE,0,173.7,135,183.45
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,10000,24-Jul-17,12:56:55,9968.2,59.1,59,59.1,300,6975,319875,196425,2471775,75,,,change,-41.28,10000,27-Jul-17,PE,0,94.8,56.15,96.35
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9900,24-Jul-17,12:57:25,9969.15,18.75,18.65,18.75,2025,525,631350,798525,6638550,75,,,change,-51.49,9900,27-Jul-17,PE,0,32,18,35.7
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9800,24-Jul-17,12:58:55,9967.75,6.85,6.8,6.85,2250,600,464100,636075,7136550,75,,,change,-50.18,9800,27-Jul-17,PE,0,11.35,6.6,12.7
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9700,24-Jul-17,12:58:55,9967.75,3.2,3.2,3.25,3825,9675,159900,199800,4921650,75,,,change,-45.3,9700,27-Jul-17,PE,0,5.4,3.1,5.45
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9600,24-Jul-17,12:58:55,9967.75,2.05,2,2.1,28650,29550,2171025,123225,4489350,75,,,change,-28.07,9600,27-Jul-17,PE,0,2.2,1.75,2.35
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9500,24-Jul-17,12:58:55,9967.75,1.55,1.5,1.55,34425,27000,2688300,130800,4916250,75,,,change,-24.39,9500,27-Jul-17,PE,0,1.7,1.25,1.7
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,PE,9400,24-Jul-17,12:58:55,9967.75,1.15,1.15,1.2,22800,13950,2473125,76725,4237500,75,,,change,-28.13,9400,27-Jul-17,PE,0,1.25,1,1.3
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10200,24-Jul-17,12:59:55,9967.6,1.35,1.3,1.35,33375,64500,2152650,180225,1820100,75,,,change,-3.57,10200,27-Jul-17,CE,0,1.8,0.95,1.8
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10100,24-Jul-17,12:59:55,9967.6,4.5,4.5,4.55,35775,9975,2710425,253650,3233025,75,,,change,32.35,10100,27-Jul-17,CE,0,4.9,2.9,4.9
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,10000,24-Jul-17,12:59:55,9967.6,23,22.95,23.05,1275,225,2366550,996000,6852300,75,,,change,48.87,10000,27-Jul-17,CE,0,16.5,13.55,24.65
Mon Jul 24 12:59:15 IST 2017,NIFTY,OPTIDX,27-Jul-17,CE,9900,24-Jul-17,12:58:55,9967.75,78,77.95,78.25,450,1500,446700,290700,3609750,75,,,change,56.78,9900,27-Jul-17,CE,0,50,46.6,80
